name,category,kcal,protein_g,carb_g,fat_g,fibre_g,sugar_g,sodium_mg,calcium_mg,iron_mg,vitc_mg,aliases
Sesame seeds,Nuts and Oilseeds,563,18.3,25.0,43.3,16.9,0,28,1450,14.6,0,til|gingelly seeds|sesame seed
Soya chunks,Pulses,345,52.0,33.0,0.5,13.0,0,3,350,20.0,0,soya nuggets|meal maker|soy chunks|nutrela
Garden cress seeds,Seeds,454,25.3,33.0,24.6,8.0,0,40,377,100.0,0,halim|aliv|chandrashoor|cress seeds
Amaranth grain,Cereals,356,14.6,59.0,5.7,7.0,0,30,159,8.0,0,rajgira|ramdana|amaranth
Roasted bengal gram,Pulses,369,22.5,57.8,5.0,15.0,0,32,58,6.0,0,roasted chana|bhuna chana|dalia
Peanuts,Nuts and Oilseeds,567,25.8,16.1,49.2,8.5,0,18,92,4.6,0,groundnut|mungfali|moongphali
